zin_id;start;annotatie;goedgekeurd;drex_alleen_labels;conf_alleen_labels;p_goedgekeurd_alleen_labels;verificatie_noul
127;1;mv;mv;mv;0.5538;0.6176;0.7567
127;2;lv;lv;lv;0.7733;0.8057;0.8631
127;4;bwb;bwb;bwb;0.6098;0.6655;0.6580
128;0;bwb;bwb;ow;0.7596;0.1457;0.4516
128;2;ow;ow;ow;0.9610;0.9666;0.9144
128;4;bwb;bwb;bwb;0.5878;0.6467;0.7544
129;0;bwb;bwb;ow;0.8416;0.0940;0.4856
129;2;bwb;bwb;bwb;0.9868;0.9887;0.9517
129;3;ow;ow;ow;0.7216;0.7613;0.7974
130;0;bwb;bwb;ow;0.7599;0.1593;0.5487
130;2;ow;ow;ow;0.5014;0.5727;0.8994
130;5;bwb;bwb;bwb;0.4415;0.5213;0.8496
131;0;ow;ow;ow;0.9906;0.9919;0.9821
131;3;vv;vv;vv;0.4630;0.5397;0.7438
132;0;ow;ow;ow;0.9869;0.9888;0.9574
132;4;bwb;bwb;vv;0.3801;0.4642;0.6387
133;0;lv;lv;ow;0.6973;0.2012;0.8379
133;3;ow;ow;ow;0.9119;0.9245;0.9350
133;4;mv;mv;ow;0.2596;0.1363;0.5670
134;1;ow;ow;ow;0.9808;0.9836;0.8354
134;2;lv;lv;lv;0.4232;0.5056;0.6871
134;4;bwb;bwb;bwb;0.9513;0.9583;0.7256
135;1;ow;ow;ow;0.8432;0.8656;0.7768
135;2;lv;lv;lv;0.4276;0.5094;0.7085
135;5;bwb;bwb;bwb;0.8242;0.8493;0.6927
136;1;ow;ow;ow;0.9479;0.9554;0.8296
136;2;lv;lv;lv;0.7606;0.7948;0.7641
136;4;bwb;bwb;bwb;0.9723;0.9763;0.9258
136;5;bwb;bwb;bwb;0.9803;0.9831;0.7092
137;1;ow;ow;ow;0.9630;0.9683;0.8390
137;2;lv;lv;ow;0.5885;0.2648;0.6612
137;4;bwb;bwb;bwb;0.8692;0.8879;0.5667
138;1;ow;ow;ow;0.9799;0.9828;0.7834
138;2;bwb;bwb;bwb;0.9386;0.9474;0.8921
138;3;lv;lv;ow;0.4309;0.3023;0.7024
139;0;ow;ow;ow;0.9687;0.9732;0.9313
139;3;mv;mv;mv;0.7559;0.7908;0.7887
139;4;lv;lv;lv;0.4404;0.5204;0.9177
140;0;ow;ow;ow;0.6148;0.6698;0.8797
140;3;mv;mv;lv;0.3120;0.1850;0.6426
140;5;lv;lv;lv;0.4881;0.5613;0.7114
141;0;ow;ow;ow;0.9738;0.9775;0.9832
141;2;mv;mv;lv;0.4547;0.3863;0.8336
141;3;lv;lv;lv;0.6456;0.6962;0.8516
141;6;bwb;bwb;bwb;0.3530;0.4455;0.7058
142;0;ow;ow;ow;0.9439;0.9519;0.9635
142;2;mv;mv;lv;0.4860;0.2599;0.5257
142;3;lv;lv;lv;0.7270;0.7660;0.7731
143;0;ow;ow;ow;0.9829;0.9853;0.9837
143;3;bwb;bwb;bwb;0.9801;0.9829;0.9441
143;4;ng;ng;ng;0.9135;0.9259;0.8162
144;0;ow;ow;ow;0.9893;0.9908;0.9491
144;3;bwb;bwb;bwb;0.9637;0.9689;0.8823
144;5;ng;ng;ng;0.9237;0.9346;0.6531
145;0;ow;ow;ow;0.9797;0.9826;0.9372
145;3;bwb;bwb;bwb;0.9865;0.9885;0.8832
145;4;ng;ng;ng;0.8863;0.9025;0.6792
146;0;ow;ow;ow;0.7777;0.8094;0.9228
146;3;ng;ng;ng;0.7647;0.7983;0.6648
147;0;ow;ow;ow;0.9969;0.9973;0.9822
147;2;bwb;bwb;bwb;0.9592;0.9650;0.8322
147;3;ng;ng;ng;0.7850;0.8157;0.7649
148;0;ow;ow;ow;0.9423;0.9506;0.9483
148;6;ng;ng;ng;0.8695;0.8882;0.7007
149;0;ow;ow;ow;0.9695;0.9739;0.9119
149;2;bwb;bwb;bwb;0.5787;0.6389;0.6513
149;3;vv;vv;vv;0.2957;0.3963;0.7310
150;0;ow;ow;ow;0.9820;0.9846;0.9699
150;3;lv;lv;lv;0.5352;0.6016;0.6901
150;4;bwb;bwb;bwb;0.9702;0.9745;0.8734
151;0;ow;ow;ow;0.9409;0.9493;0.9741
151;3;mv;mv;mv;0.4244;0.5066;0.8076
151;4;bwb;bwb;bwb;0.9729;0.9768;0.9083
151;6;lv;lv;lv;0.8128;0.8396;0.7572
152;0;ow;ow;ow;0.9455;0.9533;0.9324
152;3;lv;lv;lv;0.3001;0.4001;0.6909
152;4;bwb;bwb;bwb;0.8529;0.8739;0.9004
153;0;ow;ow;ow;0.9857;0.9878;0.9492
153;3;mv;mv;lv;0.3389;0.3638;0.6918
153;4;bwb;bwb;bwb;0.8769;0.8945;0.9305
153;5;lv;lv;lv;0.4187;0.5018;0.7664
154;0;ow;ow;ow;0.9918;0.9930;0.9772
154;3;vv;vv;vv;0.4847;0.5583;0.7395
155;0;ow;ow;ow;0.9768;0.9801;0.9802
155;3;bwb;bwb;vv;0.4299;0.3634;0.5285
156;0;ow;ow;ow;0.9463;0.9540;0.9694
156;3;vv;vv;vv;0.4005;0.4862;0.8146
157;0;ow;ow;ow;0.9768;0.9801;0.9816
157;3;bwb;bwb;bwb;0.5286;0.5959;0.6432
158;0;ow;ow;ow;0.9901;0.9915;0.9607
158;2;vv;vv;vv;0.4775;0.5521;0.7721
